image,system,embed_psnr,embed_ssim,condition,family,param,attack_psnr,attack_ssim,admissible,detected,log10p,A,L,A_log10p,L_log10p,A_anchor,L_bit_accuracy,C,C_log10p,C_bit_accuracy,photometric_psnr,photometric_ssim,bit_acc
MzXxPDebYiM.png,sigil,33.37703769028745,0.7429160475730896,stack_whiten_jpeg_noise,composite,whiten(s=1.0)->jpeg(q=60)->noise(sigma=4.0),29.1047946448861,0.6130516529083252,0,1,-186.91344184584935,3.648599147796631,30.084182739257812,0.0,-187.21447184151333,nonce,0.9609375,,,,,,
MzXxPDebYiM.png,sigil,33.37703769028745,0.7429160475730896,rsid_v1_light,reverse_synthid,mode=light,35.63859223622683,0.8712747097015381,1,1,-212.70300357526133,4.486453533172607,31.99724006652832,0.0,-213.00403357092532,nonce,1.0,,,,,,
MzXxPDebYiM.png,sigil,33.37703769028745,0.7429160475730896,rsid_v1_balanced,reverse_synthid,mode=balanced,32.91765648802965,0.8196151852607727,1,1,-212.6710662631595,4.885091781616211,31.99494171142578,0.0,-212.97209625882348,nonce,1.0,,,,,,
MzXxPDebYiM.png,sigil,33.37703769028745,0.7429160475730896,rsid_v1_aggressive,reverse_synthid,mode=aggressive,32.43456996141002,0.7920410633087158,1,1,-212.66881351033763,4.487304210662842,31.994779586791992,0.0,-212.9698435060016,nonce,1.0,,,,,,
MzXxPDebYiM.png,sigil,33.37703769028745,0.7429160475730896,rsid_v1_maximum,reverse_synthid,mode=maximum,30.054929838138484,0.7317982316017151,1,1,-108.56098936950681,2.336761236190796,23.328773498535156,0.0,-108.8620193651708,nonce,0.845703125,,,,,,
MzXxPDebYiM.png,sigil,33.37703769028745,0.7429160475730896,rsid_v2_moderate,reverse_synthid,moderatex2,30.149174436697976,0.7047324180603027,1,0,0.0,3.1803975105285645,5.727707386016846,0.0,0.0,nonce,0.4833984375,,,,,,
MzXxPDebYiM.png,sigil,33.37703769028745,0.7429160475730896,rsid_v2_aggressive,reverse_synthid,aggressivex2,30.474364014529975,0.7050668597221375,1,0,0.0,3.095003843307495,5.363046169281006,0.0,0.0,nonce,0.4951171875,,,,,,
MzXxPDebYiM.png,sigil,33.37703769028745,0.7429160475730896,rsid_v2_maximum,reverse_synthid,maximumx2,26.081022049077358,0.6790018677711487,0,0,0.0,2.772651195526123,5.415088176727295,0.0,0.0,nonce,0.51171875,,,,,,
MzXxPDebYiM.png,sigil,33.37703769028745,0.7429160475730896,rsid_simple_q50,reverse_synthid,q=50,32.93083572193876,0.7369181513786316,1,1,-168.4891623506367,2.8016645908355713,28.639328002929688,0.0,-168.79019234630067,nonce,0.93359375,,,,,,
MzXxPDebYiM.png,sigil,33.37703769028745,0.7429160475730896,rsid_simple_q30,reverse_synthid,q=30,32.172258483700304,0.7112502455711365,1,1,-51.18000944849136,3.4363644123077393,16.732677459716797,0.0,-51.48103944415534,nonce,0.7158203125,,,,,,
MzXxPDebYiM.png,sigil,33.37703769028745,0.7429160475730896,codebook_whiten_16k,codebook,k=16384,48.53578933473401,0.9928018450737,1,1,-212.71898634456093,12.691704750061035,31.998390197753906,-29.76778271540439,-213.0200163402249,nonce,1.0,,,,,,
MzXxPDebYiM.png,sigil,33.37703769028745,0.7429160475730896,codebook_whiten_64k,codebook,k=65536,42.83169234151073,0.976065456867218,1,1,-212.7215044120081,11.059111595153809,31.998571395874023,-21.347807204697673,-213.02253440767208,nonce,1.0,,,,,,
MzXxPDebYiM.png,sigil,33.37703769028745,0.7429160475730896,codebook_sub_r5,codebook,r=5.0,42.59075853703312,0.977193295955658,1,1,-212.71964899250668,10.28182601928711,31.998437881469727,-17.745768124003664,-213.02067898817066,nonce,1.0,,,,,,
MzXxPDebYiM.png,sigil,33.37703769028745,0.7429160475730896,collusion_0.3,codebook,w=0.3,19.7195252365789,0.9375536441802979,0,1,-212.731470797806,11.863247871398926,31.99928855895996,-25.350417323270477,-213.03250079346998,nonce,1.0,,,,,,
MzXxPDebYiM.png,sigil,33.37703769028745,0.7429160475730896,rsid_v3_gentle,reverse_synthid,gentle,49.978033192960716,0.9970712661743164,1,1,-212.70695282965943,12.690961837768555,31.99752426147461,-29.76368794924756,-213.0079828253234,nonce,1.0,,,,,,
MzXxPDebYiM.png,sigil,33.37703769028745,0.7429160475730896,rsid_v3_moderate,reverse_synthid,moderate,49.045013317124656,0.9956874847412109,1,1,-212.705760098124,12.916688919067383,31.997438430786133,-31.018872889393275,-213.00679009378797,nonce,1.0,,,,,,
MzXxPDebYiM.png,sigil,33.37703769028745,0.7429160475730896,rsid_v3_aggressive,reverse_synthid,aggressive,46.769957829379166,0.9907412528991699,1,1,-212.69070545068956,12.848479270935059,31.996355056762695,-30.63725115005833,-212.99173544635354,nonce,1.0,,,,,,
MzXxPDebYiM.png,sigil,33.37703769028745,0.7429160475730896,rsid_v3_maximum,reverse_synthid,maximum,45.172509784345095,0.9864124655723572,1,1,-212.69110301405135,12.936174392700195,31.996383666992188,-31.128261959948563,-212.99213300971533,nonce,1.0,,,,,,
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,clean,none,,inf,1.0,1,1,-23.90149317833157,,10.491446219918886,,,,,,,,,,0.6541666666666667
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,unmarked,none,,inf,1.0,1,0,-0.3925795045543716,,1.3445800199332758,,,,,,,,,,0.5125
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,jpeg_q90,valuemetric,q=90,45.6778324243485,0.9891296029090881,1,1,-14.141632341076818,,8.069982877201905,,,,,,,,,,0.6166666666666667
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,jpeg_q75,valuemetric,q=75,42.55866087323179,0.9804633259773254,1,0,-5.18400929263586,,4.886025484822186,,,,,,,,,,0.5625
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,jpeg_q50,valuemetric,q=50,39.73847793605588,0.9648897647857666,1,0,-4.401598940596518,,4.502234135616655,,,,,,,,,,0.5541666666666667
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,jpeg_q30,valuemetric,q=30,37.44409040029048,0.9445042014122009,1,0,-3.188467769997272,,3.831897273332803,,,,,,,,,,0.5458333333333333
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,jpeg_q20,valuemetric,q=20,35.42607218726921,0.9110599160194397,1,0,-2.9091021950221134,,3.6601790525202933,,,,,,,,,,0.55
MzXxPDebYiM.png,synthid,30.61320702394169,0.7716073393821716,double_jpeg_70_40,valuemetric,q=70/40,37.8027746280324,0.9450838565826416,1,0,-4.091354707095463,,4.340666390937924,,,,,,,,,,0.5583333333333333
